IBT #;ID;media;dilution;replicate
IBT 115000;16;CRE;1;1
IBT 115000;20;CRE;10;2
IBT 115000;22;CRE;100;3
IBT 115000;28;CRE;1000;4
IBT 115000;36;CRE;10000;5
IBT 115003;23;CRE;1;1
IBT 115003;29;CRE;10;2
IBT 115003;34;CRE;100;3
IBT 115003;42;CRE;1000;4
IBT 115003;44;CRE;10000;5
IBT 115003;46;CRE;100000;6
IBT 115004;6;CRE;1;1
IBT 115004;17;CRE;10;2
IBT 115004;21;CRE;100;3
IBT 115004;30;CRE;1000;4
IBT 115004;40;CRE;10000;5
IBT 115004;37;CRE;100000;6
IBT 115007;18;CRE;1;1
IBT 115007;24;CRE;10;2
IBT 115007;32;CRE;100;3
IBT 115007;39;CRE;1000;4
DTU9.1;4;CRE;1;1
DTU9.1;3;CRE;10;2
DTU9.1;2;CRE;100;3
DTU9.1;5;CRE;1000;4
DTU9.1;15;CRE;10000;5
DTU9.1;19;CRE;100000;6
DH5 alpha;#N/A;CRE;1;1
IBT 115000;9;LRE;1;1
IBT 115000;12;LRE;10;2
IBT 115000;15;LRE;100;3
IBT 115000;21;LRE;1000;4
IBT 115000;28;LRE;10000;5
IBT 115003;17;LRE;1;1
IBT 115003;20;LRE;10;2
IBT 115003;25;LRE;100;3
IBT 115003;32;LRE;1000;4
IBT 115003;39;LRE;10000;5
IBT 115003;38;LRE;100000;6
IBT 115004;6;LRE;1;1
IBT 115004;11;LRE;10;2
IBT 115004;13;LRE;100;3
IBT 115004;23;LRE;1000;4
IBT 115004;29;LRE;10000;5
IBT 115007;10;LRE;1;1
IBT 115007;14;LRE;10;2
IBT 115007;26;LRE;100;3
IBT 115007;33;LRE;1000;4
DTU9.1;1;LRE;1;1
DTU9.1;2;LRE;10;2
DTU9.1;3;LRE;100;3
DTU9.1;5;LRE;1000;4
DTU9.1;7;LRE;10000;5
DTU9.1;8;LRE;100000;6
DH5 alpha;#N/A;LRE;1;1
IBT 115000;12;TY;1;2
IBT 115000;15;TY;10;3
IBT 115000;19;TY;100;4
IBT 115000;30;TY;1000;5
IBT 115000;31;TY;10000;6
IBT 115003;18;TY;1;1
IBT 115003;25;TY;10;2
IBT 115003;33;TY;100;3
IBT 115003;35;TY;1000;4
IBT 115003;38;TY;10000;5
IBT 115004;14;TY;1;1
IBT 115004;20;TY;10;2
IBT 115004;21;TY;100;3
IBT 115004;34;TY;1000;4
IBT 115007;22;TY;1;1
IBT 115007;29;TY;10;2
DTU9.1;5;TY;1;1
DTU9.1;3;TY;10;2
DTU9.1;7;TY;100;3
DTU9.1;10;TY;1000;4
DTU9.1;13;TY;10000;5
DTU9.1;16;TY;100000;6
DH5 alpha;6;TY;1;1
DH5 alpha;4;TY;10;2
DH5 alpha;8;TY;100;3
DH5 alpha;17;TY;1000;4
DH5 alpha;23;TY;10000;5
DH5 alpha;27;TY;100000;6
